route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"100",1549_PO,1549_2573,"Plac Na Stawach",,1,PO_101-01_31,948432,0,0
"100",1548_PO,1548_2653,"Kopiec Kościuszki",,0,PO_101-01_32,946801,0,0
"100",1549_PO,1549_2577,"Kopiec Kościuszki",,0,PO_101-01_32,948431,0,0
"101",1548_PO,1548_2656,"Os. Podwawelskie",,1,PO_101-01_33,946854,0,0
"101",1549_PO,1549_2581,"Os. Podwawelskie",,1,PO_101-01_33,948484,0,0
"101",1548_PO,1548_2660,"Kopiec Kościuszki",,0,PO_101-01_34,946856,0,0
"101",1549_PO,1549_2588,"Kopiec Kościuszki",,0,PO_101-01_34,948486,0,0
"100",1548_PO,1548_2665,"Plac Na Stawach",,1,PO_101-01_35,946802,0,0
"100",1549_PO,1549_2592,"Plac Na Stawach",,1,PO_101-01_35,948432,0,0
"100",1548_PO,1548_2669,"Kopiec Kościuszki",,0,PO_101-01_36,946801,0,0
"100",1549_PO,1549_2595,"Kopiec Kościuszki",,0,PO_101-01_36,948431,0,0
"101",1548_PO,1548_2673,"Os. Podwawelskie",,1,PO_101-01_37,946854,0,0
"101",1549_PO,1549_2598,"Os. Podwawelskie",,1,PO_101-01_37,948484,0,0
"101",1548_PO,1548_2678,"Kopiec Kościuszki",,0,PO_101-01_38,946856,0,0
"101",1549_PO,1549_2603,"Kopiec Kościuszki",,0,PO_101-01_38,948486,0,0
"100",1548_PO,1548_2681,"Plac Na Stawach",,1,PO_101-01_39,946802,0,0
"100",1549_PO,1549_2607,"Plac Na Stawach",,1,PO_101-01_39,948432,0,0
"100",1548_PO,1548_2685,"Kopiec Kościuszki",,0,PO_101-01_40,946801,0,0
"100",1549_PO,1549_2611,"Kopiec Kościuszki",,0,PO_101-01_40,948431,0,0
"101",1548_PO,1548_2690,"Os. Podwawelskie",,1,PO_101-01_41,946854,0,0
"101",1549_PO,1549_2615,"Os. Podwawelskie",,1,PO_101-01_41,948484,0,0
"101",1548_PO,1548_2693,"Kopiec Kościuszki",,0,PO_101-01_42,946856,0,0
"101",1549_PO,1549_2619,"Kopiec Kościuszki",,0,PO_101-01_42,948486,0,0
"100",1548_PO,1548_2698,"Plac Na Stawach",,1,PO_101-01_43,946802,0,0
"100",1549_PO,1549_2622,"Plac Na Stawach",,1,PO_101-01_43,948432,0,0
"100",1548_PO,1548_2700,"Kopiec Kościuszki",,0,PO_101-01_44,946801,0,0
"100",1549_PO,1549_2626,"Kopiec Kościuszki",,0,PO_101-01_44,948431,0,0
"101",1548_PO,1548_2703,"Os. Podwawelskie",,1,PO_101-01_45,946854,0,0
"101",1549_PO,1549_2630,"Os. Podwawelskie",,1,PO_101-01_45,948484,0,0
"101",1548_PO,1548_2708,"Kopiec Kościuszki",,0,PO_101-01_46,946856,0,0
"101",1549_PO,1549_2634,"Kopiec Kościuszki",,0,PO_101-01_46,948486,0,0
"100",1548_PO,1548_2711,"Plac Na Stawach",,1,PO_101-01_47,946802,0,0
